Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.758427,-80.37386717,31:04.2,9/25/20,8,0.054,143.58,-6.859445324,1.06,162.6,152.8,4.37,-4.94,30.1,0,0.85,0.85,96,21,522.4,16.3,-1.3,D,1627.2,0,21.215,2,0,128,200.15,-80.37394014,25.75824789,0,0,1,N,21.10107,83,83,11,250,250,213.9106,0,9999.99,0.89,1.017,2,9,29,0,29,0.91,1507.72958,9/25/20,10:11:15,28.51,1.813,0.91,0.926,8.54,-91.7,0.2,-3.2,1747,99.7,7.69,13.1,
25.758428,-80.37386733,31:05.3,9/25/20,8,0.183,143.58,-6.859445324,1.06,162.6,152.8,4.24,-4.81,30.2,0,0.85,0.85,96,21,522.4,16.3,-1.3,D,1627.2,0,21.215,2,0,128,200.15,-80.37394014,25.75824789,0,0,1,N,21.10107,82,82,11,250,250,213.9106,0,9999.99,0.89,1.017,2,9,29,0,29,0.91,1507.72958,9/25/20,10:11:16,28.52,1.81,0.91,0.942,8.53,-91.5,1.8,-3,427,99.6,7.69,13.2,
25.75842872,-80.37386728,31:06.3,9/25/20,8,0.186,143.58,-6.859445324,1.06,161.9,152.12,5.69,-2.5,30.1,0.02,0.86,0.88,96,21,522.4,16.3,-1.3,D,1627.2,1,20.17,2,0.06,174,160.24,-80.37379919,25.75825802,9.14E-02,0,1,N,19.46102,88,88,11,131,131,153.0908,0,9999.99,0.9,1.027,2,9,29,0,29,0.91,1507.72958,9/25/20,10:11:17,28.52,1.808,0.91,0.937,8.53,-91.2,-0.7,-0.7,-1413,99.6,7.69,13.2,
25.75842749,-80.3738675,31:07.3,9/25/20,8,0.629,143.58,-6.859445324,1.06,163.3,153.48,5.01,-0.12,30.2,0.03,0.84,0.87,96,26,522.4,16.3,-1.6,D,1350.3,2,30.889,2,0.01,174,163.77,-80.37378129,25.75816077,9.14E-02,0,1,N,4.820716,87,87,11,128,128,153.6965,0,9999.99,0.89,1.017,2,9,29,0,29,0.91,1507.73384,9/25/20,10:11:19,28.55,1.815,0.91,0.941,8.54,-91.8,1.3,-3.5,-1580,99.6,7.68,13.1,
25.75842263,-80.37386505,31:08.3,9/25/20,8,1.235,152.2,-6.859445324,1.12,163.1,153.29,3.4,0.78,30.2,0.02,1.03,1.05,96,26,522.4,16.3,-1.6,D,1350.3,2,30.302,2,0.22,174,163.93,-80.37378129,25.75816077,9.14E-02,0,1,N,3.5172,77,77,11,164,164,162.6388,0,9999.99,1.07,1.197,2,9,29,0,29,0.91,1507.73384,9/25/20,10:11:19,28.55,1.815,0.91,0.941,8.54,-91.8,1.3,-3.5,-1580,99.6,7.68,13.1,
25.75841569,-80.37386024,31:09.3,9/25/20,8,1.475,153.23,-6.859445324,1.06,166,156.11,2.02,0.35,30.2,0.01,1.5,1.51,96,26,522.4,16.3,-1.6,D,1350.3,2,29.428,2,0.59,174,164.41,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,3.171634,155,155,-1.29291,156,156,163.1796,0,9999.99,1.53,1.657,2,9,29,0,29,0.92,1507.74303,9/25/20,10:11:20,28.52,1.824,0.92,0.949,8.5,-89.2,110.2,-2.1,468,99.6,7.68,13.1,
25.75840916,-80.37385676,31:10.3,9/25/20,8,1.132,155.79,-6.859445324,1.18,170.4,160.43,-1.71,-5,30.2,0,1.72,1.72,96,38,522.4,16.3,-2.3,D,935.6,2,28.635,2,0.92,174,164.7,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.950126,121,121,-1.397683,139,139,163.4803,0,9999.99,1.73,1.857,2,9,29,0,29,0.92,1507.74073,9/25/20,10:11:22,28.48,1.828,0.92,0.986,8.48,-88.4,863.5,-2.3,939,99.8,7.71,13,
25.75840235,-80.37385427,31:11.3,9/25/20,8,1.578,161.74,-6.859445324,1.06,173.2,163.19,-2.29,-4.66,30.2,0,1.87,1.87,96,38,522.4,16.3,-2.3,D,935.6,2,27.84,2,1.18,174,164.78,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.82568,118,118,-1.417371,128,128,163.5537,0,9999.99,1.85,1.977,2,9,29,0,29,0.92,1507.74073,9/25/20,10:11:22,28.48,1.828,0.92,0.986,8.48,-88.4,863.5,-2.3,939,99.8,7.71,13,
25.75839433,-80.37385232,31:12.3,9/25/20,8,1.752,164.58,-6.859445324,1.06,176.8,166.77,-4.04,-5.03,30.2,0,2.06,2.06,96,38,522.4,16.3,-2.3,D,935.6,2,26.928,2,1.35,174,164.68,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.775195,110,110,-1.419095,118,118,163.4064,0,9999.99,2.04,2.167,2,9,29,0,29,0.92,1507.74003,9/25/20,10:11:24,28.47,1.828,0.92,1.244,8.5,-89.4,477.7,-5.8,-1190,99.6,7.69,13.1,
25.75838148,-80.37385079,31:13.3,9/25/20,8,1.7,169.27,-6.859445324,1.06,177.9,167.86,-6.46,-1.66,30.2,0.01,2.27,2.28,96,38,522.4,16.3,-2.3,D,935.6,2,25.51,2,1.48,174,164.17,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.855893,92,92,-1.22414,106,106,162.716,0,9999.99,2.23,2.357,2,9,29,0,29,0.92,1507.74037,9/25/20,10:11:25,28.37,1.833,0.92,1.348,8.47,-87.8,302.2,0.2,-1536,99.5,7.7,13.1,
25.75837256,-80.37384944,31:14.3,9/25/20,8,1.958,170.74,-6.859445324,1.06,178.2,168.16,-7.65,-0.15,30.2,0.05,2.33,2.38,96,37,522.4,16.3,-2.2,D,948.6,2,24.519,2,1.6,174,163.84,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.883591,81,81,-0.7065002,103,103,162.2651,0,9999.99,2.27,2.397,2,9,29,0,29,0.93,1507.75838,9/25/20,10:11:26,28.22,1.837,0.93,1.579,8.51,-90,357.3,-4.1,-156,99.3,7.71,13,
25.75836317,-80.37384636,31:15.4,9/25/20,8,1.939,170.74,-6.859445324,1.06,176.7,166.67,-5.72,-0.45,30.2,0.12,2.27,2.39,96,37,522.4,16.3,-2.2,D,948.6,2,23.431,2,1.68,174,163.85,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.754487,89,89,-1.644124,109,109,162.1882,0,0.46,2.2,2.787,2,9,29,0,29,0.93,1507.76109,9/25/20,10:11:27,28.05,1.844,0.93,1.884,8.48,-88.1,624.8,-3.1,1848,99.1,7.71,13.2,
25.75835772,-80.37384098,31:16.4,9/25/20,8,1.465,170.74,-6.859445324,1.06,175.3,165.27,-2.89,-1.67,30.2,0.19,2.2,2.39,96,37,522.4,16.3,-2.2,D,948.6,2,22.702,2,1.75,174,164.73,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.326408,101,101,-0.9143578,119,119,163.2299,0,0.34,2.15,2.617,2,9,29,0,29,0.93,1507.78259,9/25/20,10:11:28,27.91,1.848,0.93,2.12,8.51,-90.1,315.2,-0.5,3429,98.8,7.71,13.1,
25.75834764,-80.37383873,31:17.4,9/25/20,7,1.93,170.74,-6.859445324,1.56,174.6,164.58,-0.59,-1.44,30.1,0.23,2.15,2.38,96,37,522.4,16.3,-2.3,D,944.8,2,21.56,2,1.81,174,164.53,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.289253,112,112,-0.415654,125,125,162.8885,0,0.36,2.12,2.607,2,9,29,0,29,0.93,1507.79042,9/25/20,10:11:29,27.8,1.852,0.93,2.208,8.51,-89.8,466.3,-2.7,-623,98.5,7.7,13,
25.75834172,-80.37384559,31:18.4,9/25/20,4,1.601,170.74,-6.859445324,15.85,174.7,164.68,0.01,-0.61,30.2,0.24,2.16,2.39,96,37,522.4,16.3,-2.3,D,944.8,2,21.126,2,1.8,174,162.25,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,3.075889,126,126,-0.3732828,121,121,159.9726,0,0.35,2.15,2.627,2,9,28.9,0,28.89999962,0.94,1507.56382,9/25/20,10:11:30,27.73,1.855,0.94,2.147,8.52,-90.4,205.7,-3.8,357,98.2,7.69,12.9,
25.75833355,-80.37384276,31:19.4,9/25/20,3,1.601,170.74,-6.859445324,12.41,173.5,163.49,-1.27,0.5,30.2,0.21,2.2,2.41,96,37,522.4,16.3,-2.3,D,944.8,2,20.174,2,1.87,174,162.23,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.946464,111,111,-0.6521068,112,112,159.8452,0,0.33,2.2,2.657,2,9,28.9,0,28.89999962,0.94,1507.55877,9/25/20,10:11:31,27.69,1.856,0.94,2.014,8.52,-90.3,329.8,-6.6,-2367,98,7.67,13.1,
25.75832522,-80.37383986,31:20.4,9/25/20,3,1.601,170.74,-6.859445324,12.42,174.1,164.08,-1.94,0.05,30.2,0.17,2.26,2.43,96,37,522.4,16.3,-2.3,D,944.8,2,19.204,2,1.91,174,162.22,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.812127,108,108,-1.137268,110,110,159.7238,0,9999.99,2.25,2.377,2,9,28.9,0,28.89999962,0.94,1507.55203,9/25/20,10:11:32,27.68,1.857,0.94,1.901,8.5,-89.2,196.4,-0.8,935,97.7,7.65,13,
25.75831673,-80.37383675,31:21.4,9/25/20,0,1.601,170.74,-6.859445324,99.99,172.9,162.89,-2.7,0.03,30.1,0.14,2.31,2.45,96,36,522.3,16.3,-2.2,D,973.9,2,18.21,2,1.93,174,162.24,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.663467,105,105,-1.426344,114,114,159.6247,0,9999.99,2.29,2.417,2,9,28.9,0,28.89999962,0.94,1507.55033,9/25/20,10:11:33,27.68,1.856,0.94,1.836,8.54,-91.8,154.3,-1.8,-537,97.4,7.63,13.2,
25.75830818,-80.3738335,31:22.4,9/25/20,0,1.601,170.74,-6.859445324,99.99,171.6,161.61,-3.21,-0.22,30.2,0.13,2.35,2.49,96,36,522.3,16.3,-2.2,D,973.9,2,17.205,2,1.95,174,162.31,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.496397,103,103,-1.507004,117,117,159.5844,0,0.49,2.33,2.947,2,9,28.9,0,28.89999962,0.94,1507.54613,9/25/20,10:11:34,27.69,1.856,0.94,1.793,8.5,-89,154.4,-1.4,157,97.2,7.61,12.9,
25.75829944,-80.37383006,31:23.4,9/25/20,0,1.601,170.74,-6.859445324,99.99,171.6,161.61,-3.44,-0.82,30.1,0.13,2.33,2.46,96,36,522.3,16.3,-2.2,D,973.9,2,16.174,2,1.94,174,162.42,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.319159,102,102,-1.554658,119,119,159.6035,0,0.49,2.3,2.917,2,9,28.8,0,28.79999924,0.94,1507.30747,9/25/20,10:11:35,27.69,1.857,0.94,1.82,8.53,-90.8,220.8,-3,-1524,97,7.59,13.1,
25.75829096,-80.37382674,31:24.4,9/25/20,0,1.601,170.74,-6.859445324,99.99,171.6,161.61,-3.06,-0.08,30.1,0.13,2.29,2.42,96,36,522.3,16.3,-2.2,D,978.3,2,15.175,2,1.94,174,162.54,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,2.145212,104,104,-1.477141,119,119,159.6456,0,0.5,2.26,2.887,2,9,28.8,0,28.79999924,0.94,1507.30753,9/25/20,10:11:36,27.69,1.856,0.94,1.821,8.51,-89.7,457.1,-1.7,290,96.8,7.58,13.1,
25.75828255,-80.37382335,31:25.4,9/25/20,8,1.601,170.74,-6.859445324,5.99,170.4,160.43,-2.6,0.33,30.2,0.14,2.26,2.4,96,36,522.3,16.3,-2.2,D,973.9,2,14.182,2,1.96,174,162.72,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,1.961955,107,107,-1.388625,124,124,159.7696,0,9999.99,2.23,2.357,2,9,28.8,0,28.79999924,0.94,1507.31004,9/25/20,10:11:37,27.69,1.855,0.94,1.859,8.52,-90.6,173.2,-4,1461,96.7,7.57,13.1,
25.75827388,-80.37381993,31:26.4,9/25/20,8,1.601,170.74,-6.859445324,5.98,170.2,160.23,-2.48,0.33,30.1,0.15,2.28,2.43,96,36,522.3,16.3,-2.2,D,973.9,2,13.159,2,2.01,174,162.9,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,1.780449,105,105,-1.350737,125,125,159.943,0,9999.99,2.26,2.387,2,9,28.8,0,28.79999924,0.94,1507.31061,9/25/20,10:11:38,27.69,1.855,0.94,1.863,8.51,-89.8,182.5,-1,-2197,96.5,7.56,12.9,
25.7582646,-80.37381646,31:27.4,9/25/20,8,1.601,170.74,-6.859445324,1.06,171.6,161.61,-2.06,-0.22,30.2,0.15,2.32,2.47,96,36,522.3,16.3,-2.2,D,973.9,2,12.071,2,1.92,174,163.04,-80.37378129,25.75816077,9.14E-02,9.14E-02,1,N,1.604011,109,109,-1.355121,124,124,160.787,0,9999.99,2.3,2.427,2,9,28.8,0,28.79999924,0.94,1507.3103,9/25/20,10:11:39,27.69,1.856,0.94,1.853,8.52,-90.2,291.6,-3.5,491,96.4,7.55,13.1,
