Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.758094,-80.37382917,18:04.5,9/25/20,9,0.186,120.56,-6.859419304,1.1,99,93.22,4.04,-1.92,38.5,0,2.21,2.21,90,22,498.2,16.1,-1.3,D,1519.9,0,9.579,2,0.23,128,275.42,-80.37392439,25.75810214,0,0,1,N,0.9051251,81,81,11,5,5,293.6129,0,9999.99,2.25,2.377,2,9,32.4,0,32.40000153,0.85,1515.3155,9/25/20,11:58:16,29.35,1.704,0.85,1.033,8.67,-99.8,-1.1,-5.6,-2767,99,7.53,13,
25.75809408,-80.37382754,18:05.5,9/25/20,9,0.189,120.56,-6.859419304,1.1,99.4,93.59,4.14,-1.97,38.5,0,2.18,2.18,90,22,498.2,16.1,-1.3,D,1519.9,0,9.741,2,0.15,174,275.28,-80.37392439,25.75810214,0,0,1,N,0.8865967,82,82,11,5,5,275.2657,0,9999.99,2.21,2.337,2,9,32.4,0,32.40000153,0.85,1515.31552,9/25/20,11:58:17,29.35,1.703,0.85,1.022,8.67,-100,-1.5,-5.1,-562,98.9,7.53,13,
25.75809367,-80.37382646,18:06.6,9/25/20,9,0.137,120.56,-6.859419304,1.1,97.2,91.54,5.15,3.84,38.5,0.01,2.19,2.2,90,22,498.2,16.1,-1.3,D,1519.9,0,9.852,2,0.21,174,275.48,-80.37392439,25.75810214,0,0,1,N,0.8865967,89,89,11,5,5,275.4742,0,9999.99,2.24,2.367,2,9,32.4,0,32.40000153,0.85,1515.31565,9/25/20,11:58:19,29.35,1.703,0.85,1.035,8.67,-100.1,-1.5,-4,1684,98.9,7.53,12.9,
25.75809366,-80.37381907,18:07.8,9/25/20,9,1.067,107.51,-6.859419304,1.1,93.2,87.79,3.29,1.15,38.4,0,2.22,2.22,90,28,498.2,16,-1.7,D,1171.7,0,10.59,2,0.47,174,275.11,-80.37392439,25.75810214,0,0,1,N,0.8865967,77,77,11,5,5,275.1782,0,9999.99,2.25,2.377,2,9,32.4,0,32.40000153,0.85,1515.31606,9/25/20,11:58:20,29.35,1.702,0.85,1.028,8.66,-99.4,-2.5,-5.9,632,98.9,7.53,12.9,
25.7580937,-80.37381207,18:08.8,9/25/20,9,1.405,99.36,-6.859419304,1.1,88.7,83.55,2.7,0.25,38.4,0,2.21,2.21,90,28,498.2,16,-1.7,D,1171.7,0,11.288,2,0.77,174,274.77,-80.37392439,25.75810214,0,0,1,N,0.8865967,75,75,11,5,5,274.9347,0,9999.99,2.23,2.357,2,9,32.4,0,32.40000153,0.85,1515.31574,9/25/20,11:58:21,29.35,1.703,0.85,1.06,8.65,-98.5,-2.9,-2.7,-2807,98.8,7.52,13,
25.7580935,-80.37380483,18:09.8,9/25/20,9,1.405,95.74,-6.859419304,1.1,81.6,76.82,3.46,0.69,38.5,0,2.23,2.23,90,28,498.2,16,-1.7,D,1171.7,1,4.401,2,1.04,174,283.67,-80.37385041,25.75810366,0,0,1,N,1.149787,79,79,11,138,138,80.51414,0,9999.99,2.26,2.387,2,9,32.4,0,32.40000153,0.85,1515.31548,9/25/20,11:58:22,29.34,1.703,0.85,1.046,8.65,-98.5,-0.3,0.8,537,98.8,7.52,12.9,
25.75809508,-80.37379734,18:10.9,9/25/20,9,1.354,95.74,-6.859419304,1.1,75.9,71.36,4.37,6.38,38.4,0,2.22,2.23,90,38,498.2,16,-2.4,D,857.8,2,3.41,2,1.21,174,73.76,-80.37376465,25.75810366,0,0,1,N,1.47325,83,83,11,169,169,81.98557,0,9999.99,2.26,2.387,2,9,32.4,0,32.40000153,0.85,1515.31559,9/25/20,11:58:23,29.34,1.703,0.85,1.054,8.64,-98.1,-2.5,-1.3,-855,98.8,7.52,13,
25.75809719,-80.37378844,18:11.9,9/25/20,10,1.798,76.68,-6.859419304,1.02,77,72.42,4.11,4.79,38.5,0,2.24,2.25,90,38,498.2,16,-2.4,D,857.8,2,2.487,2,1.36,174,73.21,-80.37376465,25.75810366,0,0,1,N,0.7791587,82,82,11,176,176,84.71212,0,9999.99,2.28,2.407,2,9,32.4,0,32.40000153,0.85,1515.31594,9/25/20,11:58:24,29.33,1.704,0.85,1.054,8.65,-98.5,-1.9,-4.8,-1462,98.7,7.51,13,
25.7581002,-80.37377897,18:12.9,9/25/20,10,1.68,73.19,-6.859419304,1.02,82.6,77.77,3.86,2.36,38.4,0,2.27,2.27,90,38,498.2,16,-2.4,D,857.8,3,9.356,2,1.49,174,87.65,-80.37368562,25.75810366,0,0,1,N,0.4049354,80,80,11,169,169,87.56445,0,9999.99,2.3,2.427,2,9,32.3,0,32.29999924,0.85,1515.10197,9/25/20,11:58:25,29.31,1.704,0.85,1.073,8.65,-98.4,-1.5,-1.6,-1119,98.7,7.51,13,
25.75810194,-80.37377113,18:13.9,9/25/20,10,1.618,75.18,-6.859419304,1.02,87.5,82.42,4.06,1.9,38.5,0,2.28,2.29,90,38,498.2,16,-2.4,D,857.8,3,8.566,2,1.62,174,88.72,-80.37368562,25.75810366,0,0,1,N,0.2709725,81,81,11,152,152,88.66881,0,9999.99,2.32,2.447,2,9,32.3,0,32.29999924,0.85,1515.1019,9/25/20,11:58:26,29.29,1.704,0.85,1.069,8.64,-98.2,-2.8,-7.1,-2087,98.6,7.51,12.8,
